VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8B4-0,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),8.24
C1-CCI_8B4-0,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),4.72
C1-CCI_8B4-0,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),135.0
C1-CCI_8B4-0,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),11.720000000000002
C1-CCI_8B4-0,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),7.56
C1-CCI_8B4-0,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),49.0
C1-CCI_8B4-0,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),4.840000000000001
C1-CCI_8B4-0,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),42.36
C1-CCI_8B4-0,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),6.0
C1-CCI_8B4-0,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),0.32
C1-CCI_8B4-5,Animal_1,Nose,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),18.48
C1-CCI_8B4-5,Animal_1,Nose,Chamber1,rectangle,ROI ENTRIES (COUNTS),51.0
C1-CCI_8B4-5,Animal_1,Nose,Chamber1,rectangle,TOTAL ROI TIME (S),7.8
C1-CCI_8B4-5,Animal_1,Nose,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),0.08
C1-CCI_8B4-5,Animal_1,Nose,Chamber2,rectangle,ROI ENTRIES (COUNTS),112.0
C1-CCI_8B4-5,Animal_1,Nose,Chamber2,rectangle,TOTAL ROI TIME (S),15.080000000000002
C1-CCI_8B4-5,Animal_1,Nose,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),6.32
C1-CCI_8B4-5,Animal_1,Nose,Chamber3,rectangle,ROI ENTRIES (COUNTS),86.0
C1-CCI_8B4-5,Animal_1,Nose,Chamber3,rectangle,TOTAL ROI TIME (S),7.44
C1-CCI_8B4-5,Animal_1,Nose,Top_half,rectangle,FIRST ROI ENTRY TIME (S),9.88
C1-CCI_8B4-5,Animal_1,Nose,Top_half,rectangle,ROI ENTRIES (COUNTS),30.0
C1-CCI_8B4-5,Animal_1,Nose,Top_half,rectangle,TOTAL ROI TIME (S),2.4000000000000004
