VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
C1-CCI_8A4-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8A4-5,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),0.9315075047449176
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),4.36
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.2378947368421053
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),19.0
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),1.243974782724296
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),4.5200000000000005
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),3.3303356461113616
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),8.52
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.691014492753623
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),69.0
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),63.56402432640799
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),47.67999999999999
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),0.8541546904472705
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),20.24
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.8561702127659573
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),47.0
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),10.189270659193264
C1-CCI_8B3-0,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),40.239999999999995
C1-CCI_8B3-0,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8B3-0,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
C1-CCI_8B3-0,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),
C1-CCI_8B3-0,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),0.0
C1-CCI_8B3-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI MOVEMENT (CM),0.0
C1-CCI_8B3-0,Animal_1,Tail_base,Top_half,rectangle,TOTAL ROI TIME (S),0.0
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber1,rectangle,AVERAGE ROI VELOCITY (CM/S),0.11174474625258116
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber1,rectangle,FIRST ROI ENTRY TIME (S),33.04
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber1,rectangle,MEAN ROI BOUT TIME (S),0.43999999999999995
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber1,rectangle,ROI ENTRIES (COUNTS),45.0
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI MOVEMENT (CM),4.867784725295173
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber1,rectangle,TOTAL ROI TIME (S),19.799999999999997
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber2,rectangle,AVERAGE ROI VELOCITY (CM/S),0.02124594288995896
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber2,rectangle,FIRST ROI ENTRY TIME (S),6.4
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber2,rectangle,MEAN ROI BOUT TIME (S),0.39999999999999997
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber2,rectangle,ROI ENTRIES (COUNTS),43.0
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI MOVEMENT (CM),0.19716235001881915
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber2,rectangle,TOTAL ROI TIME (S),17.2
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber3,rectangle,AVERAGE ROI VELOCITY (CM/S),0.9169736648419722
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber3,rectangle,FIRST ROI ENTRY TIME (S),17.96
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber3,rectangle,MEAN ROI BOUT TIME (S),0.1736231884057971
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber3,rectangle,ROI ENTRIES (COUNTS),138.0
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI MOVEMENT (CM),4.960380564133326
C1-CCI_8B3-5,Animal_1,Tail_base,Chamber3,rectangle,TOTAL ROI TIME (S),23.96
C1-CCI_8B3-5,Animal_1,Tail_base,Top_half,rectangle,AVERAGE ROI VELOCITY (CM/S),
C1-CCI_8B3-5,Animal_1,Tail_base,Top_half,rectangle,FIRST ROI ENTRY TIME (S),
C1-CCI_8B3-5,Animal_1,Tail_base,Top_half,rectangle,MEAN ROI BOUT TIME (S),
C1-CCI_8B3-5,Animal_1,Tail_base,Top_half,rectangle,ROI ENTRIES (COUNTS),0.0
